"COMPANYNUMBER","EQUIPMENTNUMBER","DESC25A","DESC25B","DESC25C","SERIALNUMBER","MODELNO","EQUIPSTATCDE","DEPARTMENTNO","ITEMCLASS","JOBNUMBER","WHSE","MODELYR"
1,"14730","TOYOTA","TACOMA","","5TFNX4CN5EX032652","3345","5",122,105,"312970","",2014
1,"14740","CHEVROLET","SILVERADO","1500","1GCNCPEA9DZ342183","4522","5",42,120,"304970","",2013
1,"14750","CHEVROLET","SILVERADO","1500","1GCNCPEAXDZ340720","4522","5",122,120,"312970","",2013
1,"47760","DITCH WITCH","FX60","","1DSV183T3B1702720","5340","5",32,432,"303970","",2011
1,"13180","CHEVROLET","3500","","1GAHG35U461101050","9999","7",32,100,"303970","",2006
1,"13990","FORD","EXPEDITION","","1FMFU17575LA29180","6000","7",22,100,"302970","",2005
1,"14270","FORD","EDGE","","2FMDK3JC4ABA18938","","5",32,100,"303970","",2010
1,"14680","FORD","ESCAPE","","1FMCU0GX3DUB64440","4000","7",2,100,"300970","",2013
1,"11980","GMC","1500","","1GTEC14V0XE851432","4700","2",32,110,"303970","OOS",1999
1,"11990","GMC","1500","","1GTEC14V2XE850329","5700","2",32,110,"303970","",1999
1,"12060","GMC","1500","","1GTEC14V5XE851474","4460","2",32,110,"303970","",1999
1,"12080","GMC","1500","","1GTEC14V1XE851567","4560","2",32,110,"303970","",1999
1,"12110","GMC","1500","","1GTEC14V0XE850331","4340","7",32,110,"303970","",1999
1,"12130","GMC","1500","","1GTEC14V7XE851542","8000","7",22,110,"302970","",1999
1,"12140","GMC","1500","","1GTEC14V5XE851569","8000","7",22,110,"302970","",1999
1,"12180","GMC","1500","","1GTEC14V5XE850311","4380","2",32,110,"303970","",1999
1,"12190","GMC","1500","","1GTEC14V6XE850320","4340","2",32,110,"303970","",1999
1,"12240","GMC","1500","","1GTEC14V5XE851555","4420","2",52,110,"305970","",1999
1,"12290","GMC","1500","","1GTEC14V5YE900206","4380","2",32,110,"303970","",2000
1,"12300","GMC","1500","","1GTEC14V4YE900214","4400","2",32,110,"303970","",2000
1,"12350","GMC","1500","","1GTEC14V3YE900222","4380","7",2,110,"300970","",2000
1,"12380","GMC","1500","","1GTEC14V5YE900254","9999","2",2,110,"300970","OOS",2000
1,"12420","GMC","1500","","1GTEC14V6YE900392","","2",22,110,"302970","",2000
1,"12440","GMC","SIERRA","","1GTEC14V1YE900266","5000","2",22,110,"302970","",2000
1,"12450","GMC","1500","","1GTEC14V8YE900278","4440","2",32,110,"303970","",2000
1,"12460","GMC","1500","","1GTEC14V4YE900410","4440","7",2,110,"300970","",2000
1,"12490","GMC","1500","","1GTEC14V1YE900297","8000","7",2,110,"300970","",2000
1,"12500","GMC","1500","","1GTEC14V5YE900285","8000","2",2,110,"300970","",2000
1,"12510","GMC","1500","","1GTEC14V8YE900412","8000","7",32,110,"303970","",2000
1,"12540","FORD","F150","","2FTZF1768WCA67825","3380","2",32,110,"303970","OOS",1998
1,"12570","GMC","2500","","1GDHC24U22E140393","5800","7",2,110,"300970","RB",2002
